Index,,,time,,,,,,,,,,,,prot_0,,,,,,,,,,prot_1,,,,,,,,,,prot_2,,,,,,,,,,,Time,prot_0,prot_1,prot_2,mRNA_0,mRNA_1,mRNA_2,GFP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,9,"9,9",9,"9,1E-009",9,"0,000089",9,"0,009",9,"0,00000092",9,"0,009",9,"0,000098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,8,9,"9,9",1,"0,000000008",1,"0,00008",1,"0,007",1,"0,0000008",1,"0,007",1,"0,00009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,25,9,"9,9",1,"0,000000028",1,"0,00027",1,"0,024",1,"0,0000024",1,"0,024",1,"0,00029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,59,9,"9,8",1,"0,000000075",1,"0,00075",1,"0,057",1,"0,0000057",1,"0,057",1,"0,00076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,26,9,"9,8",3,"0,000000003",3,"0,00002",2,"0,023",2,"0,0000024",2,"0,023",3,"0,00005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,61,9,"9,6",6,"0,000000092",6,"0,0009",3,"0,054",3,"0,0000055",3,"0,054",6,"0,00099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,30,9,"9,4",1,"0,00000099",1,"0,0098",6,"0,01",6,"0,0000014",6,"0,01",2,"0,0002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,170,9,"8,9",6,"0,00000062",6,"0,0057",1,"0,1",1,"0,000011",1,"0,1",6,"0,0081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,100,9,"8,1",2,"0,0000006",2,"0,003",1,"0,87",1,"0,000093",1,"0,89",2,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,340,9,"7,2",5,"0,0000005",4,"0,094",2,"0,69",2,"0,000093",2,"0,84",5,"0,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5,30,9,"6,1",1,"0,000009",1,"0,05",3,"0,26",4,"0,000014",3,"0,95",1,"0,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7,150,9,"4,7",2,"0,000007",1,"0,99",3,"0,28",5,"0,000046",5,"0,12",2,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9,770,9,"3,1",3,"0,00006",3,"0,4",2,"0,85",6,"0,000082",6,"0,25",3,"0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,0,9,"2,9",3,"0,000076",3,"0,54",2,"0,8",6,"0,000093",6,"0,33",3,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,300,9,"2,7",3,"0,000096",3,"0,73",2,"0,74",7,"0,000007",6,"0,44",3,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,900,9,"2,3",4,"0,000038",4,"0,11",2,"0,61",7,"0,000035",6,"0,66",3,"0,79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,2200,9,"1,5",5,"0,000027",4,"0,91",2,"0,36",7,"0,000087",7,"0,05",4,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,4700,8,"9,8",7,"0,000019",6,"0,6",1,"0,91",8,"0,000082",7,"0,7",5,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,8700,8,"6,9",1,"0,00006",9,"0,51",1,"0,33",1,"0,00002",8,"0,47",7,"0,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,2900,8,"3,7",1,"0,00046",1,"2,7",8,"0,095",1,"0,00014",9,0,8,"0,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,7200,8,"0,5",1,"0,00091",1,"6,1",5,"0,093",1,"0,00026",9,"0,36",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3,1700,7,"7,2",2,"0,00042",1,"9,6",3,"0,087",1,"0,00039",9,"0,59",1,"1,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3,6400,7,"3,8",2,"0,00097",2,"3,1",2,"0,049",1,"0,00053",9,"0,75",1,"3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4,1200,7,"0,4",3,"0,00058",2,"6,6",1,"0,059",1,"0,00068",9,"0,85",1,"4,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4,6100,6,"7,1",4,"0,00026",3,"0,1",1,"0,001",1,"0,00085",9,"0,91",1,"5,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5,1300,6,"3,8",5,"0,00002",3,"3,5",6,"0,0034",2,"0,00004",9,"0,94",1,"6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5,6500,6,"0,5",5,"0,00087",3,"6,9",4,"0,0002",2,"0,00026",9,"0,97",1,"7,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6,2000,5,"7,3",6,"0,00083",4,"0,3",2,"0,0057",2,"0,00052",9,"0,98",1,"8,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,6,7700,5,"4,2",7,"0,00093",4,"3,6",1,"0,0068",2,"0,00082",9,"0,99",1,"9,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,7,3600,5,"1,1",9,"0,00019",4,"6,8",1,"0,0014",3,"0,00017",9,"0,99",1,"9,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7,9700,4,8,1,"0,0007",4,"9,9",8,"0,00001",3,"0,00058",1,0,2,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,6100,4,"5,1",1,"0,0024",5,3,5,"0,00093",4,"0,00006",1,0,2,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,9,2800,4,"2,2",1,"0,0044",5,"6,1",4,"0,00063",4,"0,00064",1,0,2,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9,9800,3,"9,3",1,"0,0068",5,9,3,"0,00079",5,"0,00032",1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,7000,3,"6,7",1,"0,0094",6,"1,7",3,"0,00025",6,"0,0001",1,0,2,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,13000,3,"4,5",2,"0,0022",6,4,2,"0,0009",6,"0,00091",1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,19000,3,"2,5",2,"0,0052",6,"6,1",2,"0,00065",7,"0,0008",1,0,2,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,25000,3,"0,7",2,"0,0084",6,"8,1",2,"0,00045",8,"0,00076",9,"0,99",2,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,30000,2,9,3,"0,002",6,"9,8",2,"0,0003",9,"0,00082",9,"0,99",2,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,36000,2,"7,4",3,"0,0058",7,"1,4",2,"0,00017",1,"0,001",9,"0,99",2,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,41000,2,6,4,0,7,"2,9",2,"0,00006",1,"0,0022",9,"0,99",2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,47000,2,"4,6",4,"0,0046",7,"4,3",1,"0,00097",1,"0,0036",9,"0,99",1,"9,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,52000,2,"3,4",4,"0,0097",7,"5,6",1,"0,00089",1,"0,0051",9,"0,98",1,"9,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,57000,2,"2,2",5,"0,0051",7,"6,8",1,"0,00082",1,"0,0067",9,"0,98",1,"9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
