0;1;0;0;0;0;0;0;0
100;0.929387;0.0355006;3.76536e-06;3.76536e-06;0.0273584;0.0632121;6.91512e-06;6.91512e-06
200;0.858473;0.105336;1.18766e-05;1.18766e-05;0.0114927;0.0864664;1.05565e-05;1.05565e-05
300;0.783846;0.1824;2.21876e-05;2.21876e-05;0.0045271;0.0950211;1.3418e-05;1.3418e-05
400;0.712036;0.257235;3.42787e-05;3.42787e-05;0.00179203;0.0981678;1.64505e-05;1.64505e-05
500;0.645391;0.326824;4.8356e-05;4.8356e-05;0.000731208;0.0993248;2.00458e-05;2.00458e-05
600;0.584439;0.390482;6.48803e-05;6.48803e-05;0.00031693;0.0997495;2.44281e-05;2.44281e-05
700;0.529033;0.448334;8.44615e-05;8.44615e-05;0.00015179;0.0999042;2.97926e-05;2.97926e-05
800;0.478795;0.500771;0.000107846;0.000107846;8.34265e-05;0.0999587;3.63564e-05;3.63564e-05
900;0.433295;0.54825;0.000135935;0.000135935;5.3333e-05;0.0999751;4.43805e-05;4.43805e-05
1000;0.392104;0.591217;0.000169819;0.000169819;3.8852e-05;0.0999756;5.41838e-05;5.41838e-05
1100;0.354824;0.630091;0.000210824;0.000210824;3.1063e-05;0.0999674;6.61566e-05;6.61566e-05
1200;0.321085;0.665255;0.000260558;0.000260558;2.63569e-05;0.0999518;8.07762e-05;8.07762e-05
1300;0.290553;0.697053;0.000320983;0.000320983;2.32103e-05;0.0999272;9.86251e-05;9.86251e-05
1400;0.262924;0.725796;0.000394488;0.000394488;2.09398e-05;0.09989;0.000120414;0.000120414
1500;0.237923;0.75176;0.000483982;0.000483982;1.92131e-05;0.0998341;0.00014701;0.00014701
1600;0.215299;0.775188;0.000593014;0.000593014;1.78533e-05;0.0997507;0.00017947;0.00017947
1700;0.194827;0.796288;0.000725905;0.000725905;1.6757e-05;0.0996265;0.000219079;0.000219079
1800;0.176302;0.815235;0.000887924;0.000887924;1.5859e-05;0.0994416;0.000267405;0.000267405
1900;0.15954;0.832162;0.00108548;0.00108548;1.51155e-05;0.0991672;0.000326353;0.000326353
2000;0.144371;0.847157;0.0013264;0.0013264;1.44965e-05;0.0987613;0.000398238;0.000398238
2100;0.130646;0.860252;0.00162016;0.00162016;1.39806e-05;0.0981629;0.000485873;0.000485873
2200;0.118227;0.871405;0.00197834;0.00197834;1.35535e-05;0.0972861;0.000592667;0.000592667
2300;0.106989;0.880481;0.00241497;0.00241497;1.32064e-05;0.0960118;0.000722749;0.000722749
2400;0.0968198;0.887225;0.00294708;0.00294708;1.29353e-05;0.0941811;0.000881107;0.000881107
2500;0.0876184;0.891237;0.00359532;0.00359532;1.27415e-05;0.091594;0.00107375;0.00107375
2600;0.0792924;0.891947;0.00438466;0.00438466;1.26318e-05;0.0880204;0.00130792;0.00130792
2700;0.0717588;0.888618;0.00534524;0.00534524;1.26196e-05;0.0832336;0.00159227;0.00159227
2800;0.0649421;0.880395;0.00651339;0.00651339;1.27257e-05;0.0770753;0.00193714;0.00193714
